cyclesToBusyWait,usPerLaunch
0,2.88 us
100,2.60 us <====== start
200,2.60 us
300,2.60 us
400,2.60 us
500,2.60 us
600,2.63 us
700,2.63 us
800,2.64 us
900,2.64 us
1000,2.62 us
1100,2.61 us
1200,2.60 us
1300,2.60 us
1400,2.60 us
1500,2.60 us
1600,2.60 us
1700,2.60 us
1800,2.60 us
1900,2.60 us
2000,2.60 us
2100,2.60 us
2200,2.60 us
2300,2.60 us
2400,2.60 us
2500,2.60 us
2600,2.61 us
2700,2.64 us
2800,2.68 us
2900,2.75 us
3000,2.81 us
3100,2.85 us
3200,2.91 us
3300,2.97 us
3400,3.01 us
3500,3.05 us
3600,3.11 us
3700,3.17 us
3800,3.21 us
3900,3.27 us
4000,3.32 us
4100,3.39 us
4200,3.44 us
4300,3.51 us
4400,3.57 us
4500,3.60 us
4600,3.67 us
4700,3.72 us
4800,3.76 us
4900,3.82 us
5000,3.88 us
5100,3.93 us
5200,3.98 us
5300,4.04 us
5400,4.10 us
5500,4.14 us
5600,4.19 us
5700,4.26 us
5800,4.30 us
5900,4.35 us
6000,4.41 us
6100,4.47 us
6200,4.52 us
6300,4.57 us
6400,4.63 us
6500,4.67 us
6600,4.73 us
6700,4.79 us
6800,4.83 us
6900,4.89 us
7000,4.95 us
7100,5.00 us
7200,5.05 us
7300,5.10 us
7400,5.16 us
7500,5.20 us <========= doubling
7600,5.26 us 
7700,5.32 us
7800,5.37 us
7900,5.42 us
8000,5.48 us
8100,5.54 us
8200,5.58 us
8300,5.64 us
8400,5.69 us
8500,5.74 us
8600,5.79 us
8700,5.85 us
8800,5.91 us
8900,5.95 us
9000,6.01 us
9100,6.07 us
9200,6.11 us
9300,6.17 us
slurmstepd-csg-brook01: error: *** JOB 26922 ON csg-brook01 CANCELLED AT 2024-11-03T22:16:46 ***
