Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     1, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     2, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     3, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     4, modulo= 32768, clocks=         9
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     5, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     6, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     7, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     8, modulo= 32768, clocks=        12
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=     9, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    10, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    11, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    12, modulo= 32768, clocks=         9
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    13, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    14, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    15, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    16, modulo= 32768, clocks=        19
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    17, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    18, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    19, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    20, modulo= 32768, clocks=         9
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    21, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    22, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    23, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    24, modulo= 32768, clocks=        12
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    25, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    26, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    27, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    28, modulo= 32768, clocks=         9
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    29, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    30, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    31, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    32, modulo= 32768, clocks=        31
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    33, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    34, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    35, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    36, modulo= 32768, clocks=         9
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    37, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    38, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    39, modulo= 32768, clocks=         7
Shared memory bank conflict test, size=     32768, gDim=    1, bDim= 1024, stride=    40, modulo= 32768, clocks=        12
