type,matrix_width,grid_dim,block_dim,t_copy_to_device,t_copy_from_device,t_mm
1,2048,512,4,3.11127,3.47438,74.5,
1,2048,256,8,3.14522,3.62611,23.0864,
1,2048,128,16,3.10866,3.4249,16.2203,
1,2048,64,32,3.08825,3.44525,16.3668,

1,32,1,32,0.03025,0.01382,1.51297,
1,64,2,32,0.032101,0.015711,1.46907,
1,128,4,32,0.04411,0.022111,1.08085,
1,256,8,32,0.087171,0.142412,1.76343,
1,512,16,32,0.260403,0.513136,1.29566,
1,1024,32,32,0.750858,1.28845,3.12194,
1,2048,64,32,3.10898,3.67321,16.7624,
1,4096,128,32,11.4263,12.0683,119.188,
1,4096,128,32,11.4146,13.1377,119.024,
1,8192,256,32,44.3653,48.0064,937.145,
1,16384,512,32,175.377,192.938,7495.35,
